# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,-0.0,0,-0.0,-27.379753860964794,0.0,2.583283135407998,0.387104296193248,0.0,0.0
 0.10939000363702217,-0.011966172895707724,-0.10939000363702217,-1.0,-27.379753860964794,0.0,2.583283135407998,0.387104296193248,0.0,0.0
 0.15451017932688801,-0.023873395515627092,-0.26390018296391016,-3.4244143992017197,-25.612918645902486,0.0,2.6012580134838017,0.3844293779457595,39.15842941762187,867.869613070168
 0.18903244760469506,-0.035733266247421784,-0.34354262693158305,-2.3069875747090394,-23.841711184507197,0.0,2.6117664641063154,0.38288262512865073,51.3062307245299,351.88305731107897
 0.21807636015299686,-0.047557298857579595,-0.40710880775769187,-2.188623200142005,-22.069573058612807,0.0,2.6147039943498287,0.38245246963362656,61.015819509414186,334.3071898022232
 0.2436326928793836,-0.05935688903966005,-0.4617090530323803,-2.1364663646875295,-20.299957497874175,0.0,2.6100756521361275,0.38313065722121276,69.24372051673575,321.9515528856102
 0.26672697951242,-0.07114328159981892,-0.5103596723918034,-2.1066084496339563,-18.53628941854769,0.0,2.5979951634490983,0.38491218693124896,76.36815578462407,308.49341142656476
 0.28797142002179604,-0.08292753874936967,-0.5546983995342165,-2.087074362953673,-16.781926277252673,0.0,2.578680465705268,0.3877952360904477,82.57987027338963,292.39247256354423
 0.30776697344648224,-0.0947205099444077,-0.5957383934682782,-2.0731925525700343,-15.040120846192167,0.0,2.5524459236564647,0.3917810719247154,87.98973151659271,273.2866885376721
 0.3263936330089167,-0.10653280366875942,-0.6341606064553997,-2.0627538103831555,-13.313986915793517,0.0,2.5196917005765624,0.3968739507977017,92.67007455699945,251.27119678752686
 0.3440563347783389,-0.11837476150110442,-0.6704499677872547,-2.05457589702836,-11.6064687798733,0.0,2.480890897369652,0.40308100652884143,96.67366624942323,226.66926864806405
 0.36091056335765265,-0.1302564347431382,-0.7049668981359912,-2.047968566837957,-9.920315171529495,0.0,2.436575161414339,0.41041212921974385,100.04335709635077,199.93147897990212
 0.3770776628443384,-0.14218756381614853,-0.7379882262019901,-2.042501692600657,-8.258058107594044,0.0,2.387319496681203,0.4188798363144008,102.81727191104282,171.5777661278371
 0.39265450533771173,-0.15417756056200305,-0.7697321681820489,-2.037893237577723,-6.621996882652421,0.0,2.3337269840570376,0.428499137573309,105.03163434037633,142.15733581921617
 0.40771987137515614,-0.16623549351417383,-0.8003743767128683,-2.0339504831584754,-5.01418724338753,0.0,2.2764140514194153,0.43928739561964514,106.72224194677649,112.2181566779205
 0.42233881675518437,-0.1783700761381692,-0.8300586881303426,-2.0305371314970317,-3.4364355830610807,0.0,2.2159968278603075,0.4512641838777209,107.92513545347163,82.28319317332412
 0.4365657544753446,-0.19058965798062685,-0.8589045712305275,-2.0275539028549323,-1.8902978345739998,0.0,2.153078992998367,0.46445114334026594,108.67677773665437,52.832331030565285
 0.45044668787131015,-0.2029022186142335,-0.887012442346656,-2.0249265891800885,-0.37708261261828113,0.0,2.0882413975675305,0.47887183980015013,109.01393867328353,24.289500353568503
 0.4640208661498995,-0.21531536422250294,-0.9144675540212095,-2.022598429980739,1.102141934036649,0.0,2.0220336033896156,0.4945516228432901,108.97341380790024,-2.9854378328896733
 0.47732203661131534,-0.22783632663477382,-0.9413429027612135,-2.0205250972434543,2.5465381527663613,0.0,1.9549673744769194,0.511517487736881,108.59166288558082,-28.70055108509502
 0.4903794088228929,-0.24047196459748987,-0.967701445434208,-2.018671310420582,3.955486412302297,0.0,1.887512052911138,0.5297979413999954,107.90442645777283,-52.63206230719574
 0.503218408896569,-0.2532287670523945,-0.9935978177194644,-2.0170085004012064,5.32857072579644,0.0,1.8200916796197764,0.5494228731427988,106.94635918800151,-74.62164220527217
 0.5158612780436873,-0.26611285818486646,-1.0190796869402565,-2.0155131659019156,6.665563042626333,0.0,1.7530836665671543,0.5704234310494579,105.75070431181621,-94.5714823330126
 0.5283275537062021,-0.27913000400517984,-1.044188831749888,-2.01416569706804,7.966406729794072,0.0,1.6868187974947353,0.5928319043427788,104.34902310714057,-112.43784772788267
 0.5406344608244061,-0.2922856202308964,-1.0689620145306138,-2.0129495203617824,9.231199703272871,0.0,1.6215823204884343,0.616681612376479,102.77098553932787,-128.22373262885014
 0.5527972333944703,-0.3055847812485805,-1.0934316942188775,-2.0118504680824336,10.460177602120957,0.0,1.5576158999620398,0.642006800280076,101.04422258728496,-141.9711617639668
 0.5648293812706561,-0.3190322299465922,-1.117626614665124,-2.0108563072212027,11.653697330045624,0.0,1.4951202082188568,0.6688425415581162,99.19423698963185,-153.75356226419316
 0.5767429134602522,-0.33263238822662,-1.1415722947309102,-2.009956382767621,12.812221221977218,0.0,1.4342579587884716,0.6972246476810262,97.24436661557938,-163.66853616723802
 0.5885485264777416,-0.34638936801912096,-1.1652914399379954,-2.009141344201833,13.93630203090538,0.0,1.3751572097360754,0.7271895845217022,95.21579330636172,-171.8312557096723
 0.6002557643588005,-0.36030698264596783,-1.1888042908365402,-2.0084029330766504,15.026568874131613,0.0,1.3179147921216416,0.7587743957180666,93.12758947096931,-178.36861748328465
 0.6118731554757911,-0.37438875839190167,-1.2121289198345873,-2.007733815893859,16.08371422873633,0.0,1.2625997470303751,0.7920166326280298,90.99679471569311,-183.41422216214102
